number,value,datetime_start,datetime_complete,duration,params_lr,params_optimizer,state
59,0.6,2023-12-04 05:43:34.576099,2023-12-04 05:49:26.372117,0 days 00:05:51.796018,3.219785094592048e-05,RMSprop,COMPLETE
60,0.53,2023-12-04 05:49:26.373115,2023-12-04 05:49:54.697868,0 days 00:00:28.324753,9.453433929804524e-05,RMSprop,PRUNED
61,0.51,2023-12-04 05:49:54.698867,2023-12-04 05:50:44.043695,0 days 00:00:49.344828,2.9329949110162475e-05,RMSprop,PRUNED
62,0.5,2023-12-04 05:50:44.044694,2023-12-04 05:51:05.273579,0 days 00:00:21.228885,1.8808617822782253e-05,RMSprop,PRUNED
63,0.535,2023-12-04 05:51:05.273579,2023-12-04 05:51:47.651969,0 days 00:00:42.378390,3.879305669639073e-05,RMSprop,PRUNED
64,0.505,2023-12-04 05:51:47.651969,2023-12-04 05:52:16.182695,0 days 00:00:28.530726,2.2965676067157153e-05,RMSprop,PRUNED
65,0.525,2023-12-04 05:52:16.182695,2023-12-04 05:58:10.275616,0 days 00:05:54.092921,6.476133428873725e-05,Adam,COMPLETE
66,0.53,2023-12-04 05:58:10.276617,2023-12-04 05:58:52.948128,0 days 00:00:42.671511,1.290560008779721e-05,RMSprop,PRUNED
67,0.6,2023-12-04 05:58:52.949127,2023-12-04 06:04:45.833942,0 days 00:05:52.884815,3.223272062572994e-05,RMSprop,COMPLETE
68,0.5,2023-12-04 06:04:45.834942,2023-12-04 06:05:07.567845,0 days 00:00:21.732903,4.647499510984794e-05,SGD,PRUNED
69,0.625,2023-12-04 06:05:07.567845,2023-12-04 06:10:59.548285,0 days 00:05:51.980440,1.9540154150096536e-05,RMSprop,COMPLETE
70,0.5,2023-12-04 06:10:59.548285,2023-12-04 06:11:20.853206,0 days 00:00:21.304921,1.9790804628792314e-05,RMSprop,PRUNED
71,0.5,2023-12-04 06:11:20.854205,2023-12-04 06:11:42.028919,0 days 00:00:21.174714,3.58581872193437e-05,RMSprop,PRUNED
72,0.5,2023-12-04 06:11:42.029919,2023-12-04 06:12:03.322494,0 days 00:00:21.292575,1.477138986609943e-05,RMSprop,PRUNED
73,0.6,2023-12-04 06:12:03.322494,2023-12-04 06:17:55.337769,0 days 00:05:52.015275,2.047090049597795e-05,RMSprop,COMPLETE
74,0.56,2023-12-04 06:17:55.338770,2023-12-04 06:23:47.717536,0 days 00:05:52.378766,5.735377502514553e-05,RMSprop,COMPLETE
75,0.5,2023-12-04 06:23:47.719535,2023-12-04 06:24:09.333843,0 days 00:00:21.614308,1.0689808477030593e-05,Adam,PRUNED
76,0.5,2023-12-04 06:24:09.334843,2023-12-04 06:24:30.457143,0 days 00:00:21.122300,3.221705107887025e-05,RMSprop,PRUNED
77,0.58,2023-12-04 06:24:30.458142,2023-12-04 06:30:22.873048,0 days 00:05:52.414906,2.2413671199310494e-05,RMSprop,COMPLETE
78,0.5,2023-12-04 06:30:22.874047,2023-12-04 06:30:44.363625,0 days 00:00:21.489578,4.619068391126028e-05,RMSprop,PRUNED
79,0.5,2023-12-04 06:30:44.363625,2023-12-04 06:31:05.632737,0 days 00:00:21.269112,7.530120099160315e-05,RMSprop,PRUNED
80,0.51,2023-12-04 06:31:05.632737,2023-12-04 06:31:26.967293,0 days 00:00:21.334556,1.707719733643016e-05,RMSprop,PRUNED
81,0.505,2023-12-04 06:31:26.967293,2023-12-04 06:31:48.302199,0 days 00:00:21.334906,2.329798597153812e-05,RMSprop,PRUNED
82,0.515,2023-12-04 06:31:48.302199,2023-12-04 06:32:09.866493,0 days 00:00:21.564294,3.261748654210975e-05,RMSprop,PRUNED
83,0.505,2023-12-04 06:32:09.866493,2023-12-04 06:32:31.281265,0 days 00:00:21.414772,1.3332212514811801e-05,RMSprop,PRUNED
84,0.5,2023-12-04 06:32:31.281265,2023-12-04 06:32:52.612792,0 days 00:00:21.331527,2.5231788048845095e-05,RMSprop,PRUNED
85,0.5,2023-12-04 06:32:52.613791,2023-12-04 06:33:13.983945,0 days 00:00:21.370154,4.2965258569609544e-05,SGD,PRUNED
86,0.51,2023-12-04 06:33:13.983945,2023-12-04 06:33:35.656228,0 days 00:00:21.672283,1.8003932629340475e-05,RMSprop,PRUNED
87,0.505,2023-12-04 06:33:35.657228,2023-12-04 06:33:56.953898,0 days 00:00:21.296670,5.664515049693251e-05,RMSprop,PRUNED
88,0.51,2023-12-04 06:33:56.953898,2023-12-04 06:34:18.471541,0 days 00:00:21.517643,3.267942282569072e-05,Adam,PRUNED
89,0.5,2023-12-04 06:34:18.472541,2023-12-04 06:34:39.961299,0 days 00:00:21.488758,1.0017213339168713e-05,RMSprop,PRUNED
90,0.59,2023-12-04 06:34:39.962298,2023-12-04 06:40:31.570623,0 days 00:05:51.608325,1.916228835785179e-05,RMSprop,COMPLETE
91,0.51,2023-12-04 06:40:31.571622,2023-12-04 06:40:52.767221,0 days 00:00:21.195599,2.715693899417686e-05,RMSprop,PRUNED
92,0.505,2023-12-04 06:40:52.768221,2023-12-04 06:41:14.137126,0 days 00:00:21.368905,2.8312551791194794e-05,RMSprop,PRUNED
93,0.55,2023-12-04 06:41:14.138125,2023-12-04 06:42:31.724313,0 days 00:01:17.586188,4.013692014609661e-05,RMSprop,PRUNED
94,0.505,2023-12-04 06:42:31.725312,2023-12-04 06:42:53.226726,0 days 00:00:21.501414,1.567735350256717e-05,RMSprop,PRUNED
95,0.57,2023-12-04 06:42:53.227725,2023-12-04 06:48:45.125040,0 days 00:05:51.897315,2.0890549652052326e-05,RMSprop,COMPLETE
96,0.505,2023-12-04 06:48:45.125040,2023-12-04 06:49:06.686289,0 days 00:00:21.561249,1.2202636065745541e-05,RMSprop,PRUNED
97,0.515,2023-12-04 06:49:06.687288,2023-12-04 06:49:28.353115,0 days 00:00:21.665827,5.420757205461138e-05,RMSprop,PRUNED
98,0.5,2023-12-04 06:49:28.353115,2023-12-04 06:49:49.569650,0 days 00:00:21.216535,3.5721756606308664e-05,RMSprop,PRUNED
99,0.5,2023-12-04 06:49:49.569650,2023-12-04 06:50:10.879483,0 days 00:00:21.309833,2.56740215920975e-05,SGD,PRUNED
